accommodates;bathrooms;bedrooms;calculated_host_listings_count;guests_included;host_listings_count;latitude;longitude;minimum_nights;number_of_reviews;d_centre;instant_bookable_t;room_type_Entire home/apt;room_type_Private room;room_type_Shared room;price_category
1;2;1;1;1;1;52,35378163;4,940751976;15;0;3,979046384;1;0;1;0;Low
2;1;0;1;1;1;52,36097519;4,842168534;3;12;4,380770398;0;1;0;0;Low
2;1;1;1;1;1;52,37461187;4,878005285;5;5;1,539903327;0;1;0;0;Low
2;1;1;1;1;1;52,35260092;4,85525367;1;1;4,208985809;1;0;1;0;Low
2;1;1;1;1;1;52,35631467;4,801934859;1;1;7,086861413;0;1;0;0;Low
2;1;1;1;1;1;52,38230527;4,869471179;4;15;2,061529154;0;1;0;0;Low
2;1;1;1;1;1;52,32648497;4,875260572;1;1;6,082176918;1;1;0;0;Low
2;1;1;1;1;1;52,35120535;4,887198035;2;10;3,218568011;0;1;0;0;Low
4;1;2;2;1;2;52,37652991;4,897001107;2;0;0,338358295;1;1;0;0;Mid-High
2;1;1;1;2;1;52,35458777;4,908418668;3;35;2,801008858;0;1;0;0;Highest
2;1;1;1;1;1;52,35349839;4,839865827;2;6;4,948332401;0;0;1;0;Low
2;1;1;2;1;2;52,317601;4,985381723;3;67;8,993394635;0;0;1;0;Low
4;1;2;1;2;1;52,35930025;4,934469933;3;2;3,246021937;0;1;0;0;Low
2;1;1;1;1;1;52,36279692;4,931875753;2;5;2,85722859;0;1;0;0;Low
2;1;0;1;1;1;52,35537604;4,88566714;2;0;2,806183765;0;1;0;0;Low
2;1;1;1;1;2;52,37810389;4,879175554;2;84;1,379314338;0;0;1;0;Low
2;1,5;1;1;1;1;52,33309982;4,852020242;2;0;6,048589375;0;0;1;0;Low
1;1;1;1;1;1;52,3770667;4,945488367;5;3;3,1332386;0;0;1;0;Low
2;1;1;1;1;1;52,37896152;4,856272502;2;0;2,927748531;1;1;0;0;Low
2;1,5;1;1;1;1;52,34225646;4,911462637;3;0;4,184564395;0;1;0;0;Low
2;1;1;1;1;1;52,37370617;4,862458202;1;2;2,581125836;0;0;1;0;Low
2;1;1;2;1;2;52,35982965;4,941942099;1;1;3,598276955;0;0;0;1;Low
2;1;1;1;2;1;52,37080219;4,905918121;2;0;1,030668199;0;1;0;0;Low
2;1;1;1;1;1;52,35152183;4,856904394;1;2;4,216604586;0;0;1;0;Low
2;1;1;1;1;1;52,35217709;4,78534359;2;44;8,30299891;1;0;1;0;Low
2;1;1;3;1;3;52,32256252;4,972250339;2;1;8,001788334;0;0;1;0;Low
1;1;1;3;1;3;52,36537246;4,875539472;3;52;2,232651203;0;0;1;0;Low
2;1;1;1;1;1;52,34670532;4,898236196;3;8;3,610663065;0;1;0;0;Low
2;1;1;1;2;2;52,36647221;4,852339646;2;53;3,493455384;0;1;0;0;Low
2;1,5;1;1;1;1;52,36339237;4,840221372;2;5;4,383957926;1;1;0;0;Low
4;1;1;1;1;1;52,34357323;4,860535153;1;2;4,757247838;0;1;0;0;Low
4;2;3;1;4;1;52,36943678;4,873592384;4;2;2,060884163;0;1;0;0;Mid-High
4;1;1;1;3;1;52,3811819;4,824884341;3;1;5,061562658;1;1;0;0;Low
4;1;2;1;1;1;52,36252858;4,874790577;1;74;2,494496323;0;1;0;0;Low
2;1;1;1;1;1;52,35831271;4,924390389;4;22;2,872247435;0;1;0;0;Low
2;1;1;1;1;1;52,37617552;4,845237402;2;5;3,691537059;1;0;1;0;Low
2;1;1;3;1;3;52,36550979;4,928480704;3;126;2,488988932;0;0;1;0;Low
2;1;1;1;1;1;52,35520972;4,79095962;2;5;7,827615137;0;0;0;1;Low
2;1;1;1;1;1;52,37933189;4,847250577;1;2;3,53965884;0;0;1;0;Low
2;1;1;1;1;1;52,37175821;4,950291753;3;20;3,547833251;0;1;0;0;Low
2;1;2;1;1;1;52,3744245;4,808575171;2;118;6,18618382;0;1;0;0;Low
2;1;1;1;1;1;52,37734569;4,853877881;14;8;3,096915802;0;1;0;0;Low
4;1;1;2;2;2;52,38971988;4,880189086;3;4;1,752935487;0;1;0;0;Low
2;1;1;1;1;1;52,35005075;4,772724795;2;44;9,187386326;0;1;0;0;Low
3;1;1;1;1;1;52,32495861;4,949574263;1;2;6,921053993;0;1;0;0;Low
4;1;1;13;2;15;52,40653759;4,995237782;2;33;7,172658428;0;0;1;0;Low
2;1;2;1;1;1;52,37438322;4,858186075;2;12;2,848487772;0;1;0;0;Low
1;1;1;2;1;2;52,35939742;4,914945097;1;4;2,438262561;1;0;1;0;Low
4;1;1;91;1;103;52,35185655;4,888661183;2;12;3,124000443;1;1;0;0;Highest
2;1;1;1;1;1;52,35626114;4,991048728;1;0;6,718320513;0;0;1;0;Low
4;1,5;2;1;2;1;52,3626687;4,862201763;5;6;3,122561333;0;1;0;0;Low
2;1;0;1;1;1;52,37500847;4,891479587;2;18;0,711882021;1;0;1;0;Low
4;1,5;2;1;1;1;52,35528912;4,899166655;3;3;2,65593731;0;1;0;0;Mid-High
6;1,5;3;3;6;3;52,3696978;4,897843345;5;6;1,060195958;0;1;0;0;Mid-High
4;2;3;1;1;1;52,36330915;4,916850369;4;3;2,123852656;0;1;0;0;Mid-High
4;1,5;2;1;4;1;52,35002051;4,889777592;1;15;3,306879307;0;1;0;0;Mid-High
4;1,5;3;1;5;1;52,35416983;4,866206301;3;7;3,579417653;0;1;0;0;Mid-High
4;1;1;3;1;3;52,35788824;4,908719101;3;0;2,449506653;0;0;1;0;Mid-High
4;1;4;1;4;1;52,36328444;4,91834044;2;27;2,183948057;0;1;0;0;Mid-High
5;1;4;1;1;1;52,36759219;4,909215733;2;0;1,44962337;0;1;0;0;Highest
6;2,5;4;1;4;1;52,37964581;4,877451693;3;23;1,49180992;0;1;0;0;Mid-High
10;2;5;1;5;1;52,35574286;4,868646655;3;0;3,339378933;0;1;0;0;Highest
4;1;1;1;1;1;52,37242774;4,891729234;2;4;0,915156137;0;1;0;0;Highest
2;1;1;1;1;1;52,36294636;4,864459786;3;6;2,98119927;0;1;0;0;Low
2;1;1;45;1;47;52,35214153;4,917388332;2;8;3,243252629;1;1;0;0;Low
2;1;1;1;1;1;52,37739467;4,851032963;15;18;3,289169049;0;0;1;0;Low
4;1;2;1;1;1;52,3587619;4,909940936;2;15;2,379337222;0;1;0;0;Mid-High
2;1;1;1;1;1;52,37278296;4,882010821;2;2;1,37961958;0;1;0;0;Low
1;1;1;1;1;1;52,36236149;4,935633796;1;1;3,08706652;0;0;1;0;Low
2;1;1;1;1;1;52,38579039;4,887177165;3;1;1,108594739;1;1;0;0;Low
2;1;1;1;1;1;52,35620464;4,995681397;2;5;7,012476805;0;1;0;0;Low
2;1;1;1;1;1;52,35469044;4,920029776;2;12;3,060234917;0;0;1;0;Low
2;1;1;1;1;1;52,34880152;5,011765177;2;159;8,337211692;0;0;1;0;Low
